"ESTU_GENERO","ESTU_CONSECUTIVO","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","FAMI_ESTRATOVIVIENDA","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_NUMLIBROS","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","COLE_NATURALEZA","COLE_BILINGUE","COLE_JORNADA","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL"
"M","SB11202040502000","Si","BOLIVAR",13,"Estrato 4","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",33,35,38,31,36,172
"M","SB11202040441987","No","ANTIOQUIA",5,"Estrato 3","Primaria completa","Primaria completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",51,53,50,47,49,251
"F","SB11202040043219","No","NORTE SANTANDER",54,"Estrato 2","Primaria incompleta","Primaria completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",52,47,48,57,54,256
"M","SB11202040560471","No","QUINDIO",63,"Estrato 3","Primaria incompleta","Primaria completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL","N","UNICA",66,63,64,59,50,310
"F","SB11202040424629","No","TOLIMA",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL","N","MAÑANA",60,72,37,65,44,287
"M","SB11202040160895","No","CUNDINAMARCA",25,"Estrato 2","Técnica o tecnológica completa","Técnica o tecnológica incompleta","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","MÁS DE 100 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",57,64,58,49,58,285
"F","SB11202040490690","No","VALLE",76,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","UNICA",47,46,34,35,36,201
"M","SB11202040238636","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",60,58,57,64,62,300
"F","SB11202040430641","No","BOGOTÁ",11,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) incompleta","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL","N","NOCHE",57,37,40,38,39,213
"F","SB11202040498842","No","ATLANTICO",8,"Estrato 1","Secundaria (Bachillerato) incompleta","Técnica o tecnológica completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",52,45,46,32,51,222
"M","SB11202040478274","No","SANTANDER",68,"Estrato 5","Educación profesional completa","Educación profesional completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","NOCHE",37,41,41,31,50,192
"M","SB11202040250659","No","VALLE",76,"Estrato 3","No sabe","Técnica o tecnológica completa","No sabe","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",56,68,63,54,48,297
"M","SB11202040201752","No","ANTIOQUIA",5,"Estrato 1","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","No Navega Internet","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",32,26,35,25,32,148
"M","SB11202040467763","No","VALLE",76,"Estrato 2","No sabe","Secundaria (Bachillerato) completa","No sabe","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Entre 11 y 20 horas","OFICIAL",NA,"MAÑANA",59,52,59,62,51,287
"M","SB11202040010426","No","SANTANDER",68,"Estrato 2","Primaria completa","Primaria completa","Es agricultor, pesquero o jornalero","Es agricultor, pesquero o jornalero","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL","N","COMPLETA",64,69,62,56,48,308
"M","SB11202040114431","No","CUNDINAMARCA",25,"Estrato 2","Técnica o tecnológica completa","Secundaria (Bachillerato) incompleta","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",65,62,44,61,43,284
"F","SB11202040379351","No","NORTE SANTANDER",54,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","No Navega Internet","0","OFICIAL",NA,"UNICA",68,49,58,55,52,285
"M","SB11202040543245","Si","NARIÑO",52,"Estrato 1","Ninguno","Primaria incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","Menos de 10 horas","OFICIAL","S","MAÑANA",42,29,35,43,29,183
"M","SB11202040421010","Si","NARIÑO",52,"Estrato 1","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Menos de 10 horas","OFICIAL","N","MAÑANA",58,51,55,52,34,262
"F","SB11202040448461","No","NORTE SANTANDER",54,"Estrato 2","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","No sabe","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Menos de 10 horas","OFICIAL",NA,"MAÑANA",53,54,51,41,35,243
"M","SB11202040139701","No","BOYACA",15,"Estrato 2","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","No leo por entretenimiento","No Navega Internet","Menos de 10 horas","OFICIAL","N","COMPLETA",35,39,43,29,42,185
"M","SB11202040461514","No","CAUCA",19,"Estrato 1","Primaria completa","Primaria incompleta","Es agricultor, pesquero o jornalero","Es agricultor, pesquero o jornalero","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Entre 21 y 30 horas","OFICIAL","N","UNICA",56,54,55,59,44,275
"F","SB11202040550372","No","CUNDINAMARCA",25,"Estrato 1","No Aplica","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","No leo por entretenimiento","No Navega Internet","0","NO OFICIAL",NA,"SABATINA",42,41,41,40,33,202
"F","SB11202040258998","No","RISARALDA",66,"Estrato 2","Secundaria (Bachillerato) completa","Primaria incompleta","No sabe","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","TARDE",59,51,50,54,52,267
"F","SB11202040177783","No","BOLIVAR",13,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja por cuenta propia (por ejemplo plomero, electricista)","11 A 25 LIBROS","Más de 2 horas","Entre 1 y 3 horas","0","NO OFICIAL","N","COMPLETA",66,57,46,55,40,274
"M","SB11202040056158","No","VALLE",76,"Estrato 5","Educación profesional completa","Técnica o tecnológica incompleta","No sabe","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Menos de 10 horas","OFICIAL","N","UNICA",53,62,57,46,43,268
"F","SB11202040292293","No","ATLANTICO",8,"Estrato 3","Técnica o tecnológica completa","Técnica o tecnológica completa","Es vendedor o trabaja en atención al público","Es operario de máquinas o conduce vehículos (taxita, chofer)","26 A 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Menos de 10 horas","OFICIAL","N","UNICA",57,63,63,47,65,290
"M","SB11202040106560","No","CALDAS",17,"Estrato 2","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 21 y 30 horas","OFICIAL","N","COMPLETA",59,56,62,67,61,305
"M","SB11202040066402","No","CORDOBA",23,"Estrato 2","Técnica o tecnológica incompleta","Educación profesional incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",39,47,53,37,44,220
"F","SB11202040161238","No","CUNDINAMARCA",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO OFICIAL",NA,"SABATINA",47,37,33,43,34,198
"M","SB11202040348869","No","NORTE SANTANDER",54,"Estrato 2","Educación profesional completa","Postgrado","Trabaja en el hogar, no trabaja o estudia","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","26 A 100 LIBROS","Más de 2 horas","30 minutos o menos","Entre 11 y 20 horas","NO OFICIAL",NA,"MAÑANA",59,66,67,65,57,318
"F","SB11202040225253","No","ANTIOQUIA",5,"Estrato 3","Primaria incompleta","Primaria completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",57,66,61,62,41,300
"M","SB11202040364951","No","GUAVIARE",95,"Estrato 2","Primaria incompleta","Primaria incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Entre 21 y 30 horas","OFICIAL","N","UNICA",41,40,48,45,52,221
"F","SB11202040294049","No","BOGOTÁ",11,"Estrato 2","Educación profesional completa","Educación profesional completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",52,51,55,53,46,261
"F","SB11202040479530","No","ATLANTICO",8,"Estrato 4","Secundaria (Bachillerato) completa","Educación profesional completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","11 A 25 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL",NA,"UNICA",63,43,27,61,75,253
"F","SB11202040070595","No","RISARALDA",66,"Estrato 4","Educación profesional completa","Educación profesional completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","MÁS DE 100 LIBROS","No leo por entretenimiento","Más de 3 horas","Entre 11 y 20 horas","NO OFICIAL","N","MAÑANA",55,55,58,61,58,287
"F","SB11202040535263","No","BOGOTÁ",11,"Estrato 1","Primaria incompleta","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","MÁS DE 100 LIBROS","No leo por entretenimiento","Más de 3 horas","Más de 30 horas","NO OFICIAL","N","MAÑANA",34,28,38,31,36,165
"M","SB11202040283547","No","ANTIOQUIA",5,"Estrato 3","Primaria incompleta","Primaria incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",53,58,43,46,41,247
"F","SB11202040161761","No","BOLIVAR",13,"Estrato 1","No Aplica","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",41,42,35,22,43,178
"F","SB11202040109743","No","BOGOTÁ",11,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","NO OFICIAL","N","COMPLETA",71,65,66,72,68,342
"M","SB11202040209482","No","BOLIVAR",13,"Estrato 1","Primaria incompleta","Ninguno","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",39,48,35,37,40,199
"F","SB11202040141533","No","MAGDALENA",47,"Estrato 3","Técnica o tecnológica completa","Educación profesional incompleta","No sabe","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL",NA,"MAÑANA",64,39,66,54,57,279
"M","SB11202040240933","No","NARIÑO",52,"Estrato 1","Primaria completa","Primaria incompleta","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Menos de 10 horas","OFICIAL","N","MAÑANA",52,47,45,40,47,230
"M","SB11202040254235","No","RISARALDA",66,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL",NA,"MAÑANA",36,46,48,34,46,207
"F","SB11202040150791","No","ANTIOQUIA",5,"Estrato 3","Postgrado","Postgrado","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",62,68,64,71,74,334
"F","SB11202040205322","No","CESAR",20,"Estrato 1","No sabe","Primaria incompleta","Es agricultor, pesquero o jornalero","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","OFICIAL","N","MAÑANA",47,47,49,45,45,234
"M","SB11202040229535","Si","CORDOBA",23,"Estrato 1","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","No sabe","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",51,51,58,45,40,252
"F","SB11202040426601","No","HUILA",41,"Estrato 1","Primaria incompleta","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Entre 21 y 30 horas","OFICIAL","N","MAÑANA",58,46,49,52,39,252
"F","SB11202040136921","No","BOYACA",15,"Estrato 3","No sabe","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","NO OFICIAL",NA,"COMPLETA",56,61,54,55,60,284
"F","SB11202040514160","No","VALLE",76,"Estrato 2","No sabe","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas",NA,"OFICIAL","N","MAÑANA",43,32,33,28,36,171
"M","SB11202040063940","No","CESAR",20,"Estrato 2","Primaria completa","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","TARDE",44,62,54,53,49,265
"F","SB11202040376574","No","SANTANDER",68,"Estrato 2","Secundaria (Bachillerato) completa","Educación profesional completa","Trabaja en el hogar, no trabaja o estudia","No sabe","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",67,76,69,66,62,345
"F","SB11202040121199","No","ANTIOQUIA",5,"Estrato 4","Educación profesional completa","Secundaria (Bachillerato) completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","NO OFICIAL","N","MAÑANA",61,54,64,61,57,299
"F","SB11202040130646","No","NORTE SANTANDER",54,"Estrato 6","Educación profesional completa","Educación profesional completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","NO OFICIAL","N","TARDE",40,47,34,34,39,194
"M","SB11202040326429","No","BOGOTÁ",11,"Estrato 2","Primaria completa","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",43,38,48,46,46,220
"M","SB11202040059561","No","BOGOTÁ",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL","N","UNICA",57,56,47,48,42,256
"M","SB11202040184363","No","BOLIVAR",13,"Estrato 5","Educación profesional completa","No sabe","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","No leo por entretenimiento","Más de 3 horas","0","NO OFICIAL","N","MAÑANA",71,69,71,68,72,350
"F","SB11202040274442","No","MAGDALENA",47,"Estrato 1","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Es agricultor, pesquero o jornalero","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","TARDE",39,24,41,35,32,173
"F","SB11202040212750","No","BOGOTÁ",11,"Estrato 2","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","No sabe","Es operario de máquinas o conduce vehículos (taxita, chofer)","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",56,41,48,42,47,234
"M","SB11202040158674","No","CUNDINAMARCA",25,"Estrato 2","Primaria incompleta","Primaria incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","Entre 11 y 20 horas","OFICIAL","N","UNICA",36,55,44,38,39,215
"M","SB11202040111074","No","SANTANDER",68,"Estrato 3","Técnica o tecnológica completa","Técnica o tecnológica completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",43,46,40,37,52,212
"M","SB11202040445357","No","TOLIMA",73,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","0","OFICIAL","N","UNICA",36,27,37,42,44,181
"F","SB11202040557200","No","CUNDINAMARCA",25,"Estrato 3","Educación profesional completa","Técnica o tecnológica completa","Pensionado","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 30 y 60 minutos","Entre 11 y 20 horas","NO OFICIAL",NA,"TARDE",33,38,28,29,45,165
"F","SB11202040471055","No","BOGOTÁ",11,"Estrato 3","Postgrado","Educación profesional completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","NO OFICIAL","N","COMPLETA",63,72,67,63,73,334
"F","SB11202040433604","No","NORTE SANTANDER",54,"Estrato 2","Primaria completa","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","NO OFICIAL","N","COMPLETA",50,60,53,45,52,260
"M","SB11202040174589","No","META",50,"Estrato 2","Técnica o tecnológica completa","Técnica o tecnológica completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","NO OFICIAL",NA,"MAÑANA",49,59,59,48,54,269
"F","SB11202040085693","No","META",50,"Estrato 2","No sabe","Secundaria (Bachillerato) incompleta","No sabe","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","OFICIAL",NA,"MAÑANA",51,41,45,43,43,224
"F","SB11202040291327","No","QUINDIO",63,"Estrato 3","Primaria incompleta","Ninguno","Trabaja en el hogar, no trabaja o estudia","No sabe","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","SABATINA",37,32,32,37,44,176
"F","SB11202040171827","No","BOYACA",15,"Estrato 4","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Menos de 10 horas","NO OFICIAL","N","COMPLETA",62,64,62,60,72,314
"F","SB11202040191888","No","ANTIOQUIA",5,"Estrato 5","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","26 A 100 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","NO OFICIAL","N","MAÑANA",71,67,66,66,70,338
"M","SB11202040515509","No","VALLE",76,"Estrato 1","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Más de 30 horas","OFICIAL","N","UNICA",35,53,39,43,42,212
"M","SB11202040572573",NA,"VICHADA",99,"Sin Estrato","Ninguno","No sabe","No sabe",NA,NA,NA,NA,NA,"OFICIAL",NA,"MAÑANA",34,38,37,37,34,182
"M","SB11202040334414","No","VALLE",76,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 1 y 2 horas","30 minutos o menos","0","OFICIAL","N","MAÑANA",54,51,41,48,42,240
"F","SB11202040116881","No","NARIÑO",52,"Estrato 1","Primaria incompleta","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","NO OFICIAL",NA,"SABATINA",48,23,35,40,34,182
"F","SB11202040064587","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica incompleta","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","26 A 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Menos de 10 horas","OFICIAL","N","UNICA",55,60,59,45,63,277
"M","SB11202040395386","No","ANTIOQUIA",5,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 1 y 2 horas","Más de 3 horas","Más de 30 horas","OFICIAL","N","UNICA",64,63,70,56,67,318
"F","SB11202040404569","No","BOGOTÁ",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL",NA,"MAÑANA",51,38,37,37,30,200
"F","SB11202040303665","No","BOGOTÁ",11,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","26 A 100 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",55,56,54,59,54,279
"F","SB11202040187142","No","NARIÑO",52,"Estrato 1","Primaria completa","Primaria completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",51,59,60,58,51,283
"F","SB11202040558074","No","MAGDALENA",47,"Estrato 1","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","MÁS DE 100 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",58,38,55,60,47,262
